Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
3421,"Achoccha (Caighua, Kaywa)",Cyclanthera pedata,CYPE,Annual,480,120,8,Summer,"""Requires a very warm, sunny and sheltered position in a rich well-drained soil. It is a climbing member of the cucumber family that can be used as a vegetable in salads, or steamed, it has a nice sweet flavor. It is also an herbal plant, the fruit has anti-inflammatory, weight reducing ( it is often sold in capsule form as a natural weight loss product ), lipid-absorbing, cholesterol and blood sugar regulating affects. Can easily be grown in the garden, on a fence or trellis. It is an annual plant. One of the most interesting aspects of the plants is that when ripe, the fruits become spring-loaded missile devices, splitting and turning themselves inside-out to launch their seeds up to 5-6 feet away into the garden. This is quite the conversation plant. The achocha is occasionally cultivated for its edible fruit in S. America, there are many named forms. The fruit flesh is soft and spongy, not crunchy, only 0.5 cm thick, and is said to have a flavor resembling that of cucumbers. Except for the flesh and the 12 or so seeds attached to one placenta lobe, the fruit is hollow. This species is day-length sensitive, like other cucurbits originating from low-latitude regions, requiring sh","Green, White",Fibrous Shallow,Early Summer - Early Fall,Summer - Fall,Fine,Vine,Fast,Minor,Minor,"Full_Sun, Partial_Shade",9 -- 11,Moderate,6.0 - 6.5,Insectory,"Fiber, Food, Food, Food, Medicine"
1974,Alfalfa (including cultivars),Medicago sativa .,MESA,Annual,36,12,1000,Summer,"Violet, yellow, purple, and blue flowers in May to June",,Rhizome,,,Medium,Upright,Fast,Minor,Minor,Full_Sun,2 -- 9,"Moderate, Dry",6.0 - 8.0,"Domestic Animal Forage, Dynamic Accumulator, Insectory, Nitrogen Fixer, Nurse, Reclamator, Soil Cultivator, Wildlife Food, Wildlife Habitat",Food
2044,Amaranth (Grain),Amaranthus hypochondriacus,AMHY,Annual,40,24,36,Summer,"Colors most brilliant in poor soils; most varieties have red, yellow or gold leaves. Lygus lineolaris, an insect pest, can be controlled by planting strips of alfalfa.Non mycorrhizal. Most if not all members of this genus photosynthesize by a more efficient method than most plants. Called the 'C4 carbon-fixation pathway', this process is particularly efficient at high temperatures, in bright sunlight and under dry conditions. This is the most robust and highest yielding of the grain amaranths, though it is late maturing and therefore less suitable for northern areas[183 ]. It is often cultivated, especially in tropical areas, for its edible leaves and seeds, there are many named varieties.",Orange,"Tap, Tap",Summer - Late Summer,Fall,Coarse,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",2 -- 9,"Wet, Moderate, Dry",4.0 - 7.5,"Domestic Animal Forage, Dynamic Accumulator, Insectory, Nurse, Reclamator","Dye, Food, Medicine, Ornamental"
2596,Globe Amaranth,Gomphrena globosa,GOGL,Annual,18,15,,Summer,"Excellent flower for drying. White, red, pink and purple flower colors.","Pink, Purple, Red, White",,Early Summer - Early Fall,,Medium,Upright,Fast,Minor,Minor,Full_Sun,2 -- 9,Moderate,6.2 - 7.0,,"Cut Flower, Dried Flower"
3147,Spiny Amaranth,Amaranthus spinosus,AMSP,Annual,60,50,0,,"Monoecious. Self and wind pollinated, dispersed by various animals. Prefers well-drained, rich loams.",Green,"Tap, Fibrous Deep",Summer - Fall,Summer - Fall,Coarse,Upright,Fast,Medium,Minor,Full_Sun,4 -- 8,Moderate,5.0 - 7.0,Domestic Animal Forage,"Compost, Dye, Food, Medicine"
3426,Thorn Apple,Datura metel,DAME,Annual,48,48,8,Summer,"""Prefers a rich light sandy soil and an open sunny position. Grows best in a fertile calcareous soil. This species is extremely susceptible to the various viruses that afflict the potato family (Solanaceae), it can act as a centre of infection so should not be grown near potatoes or tomatoes. There are a number of named varieties selected for their ornamental value. The flowers have an exotic fragrance, though the bruised leaves have an unpleasant smell. This species is closely related to D. innoxia."" Foliage emits a disagreeable odor when bruised or crushed. Single or double, upward-facing trumpets (to 7” long and 4” wide at the mouth) have a sweetly overpowering fragrance. Flowers come in a variety of colors, including white, yellow, lilac and dark purple. Each flowers lasts only one night. From an unusual cigar-shaped flower bud, each flower will unravel in the evening to reveal a fragrant trumpet-shaped bloom that only lasts until noon the following day. Flowers will typically bloom intermittently from mid-summer to frost. Flowers are followed by thorny, spherical fruit. Propagation: Seed - best pre-soaked for twelve hours in warm water before sowing. Seed can be sown in s","Lavender, White, Yellow",Fibrous Deep,Summer - Fall,Fall,Coarse,Upright,Fast,Minor,Minor,Full_Sun,9 -- 10,"Moderate, Dry",6.5 - 7.5,"Aromatic Pest Confuser, Insecticide, Insectory","Aromatics/Fragrance, Container Garden, Dye, Food, Medicine, Medicine, Medicine, Medicine"
2514,"Arrow-Leaved Tearthumb (Arrow Vine, Scratch Grass)",Persicaria sagittata,PESA,Annual,48,10,6,Summer,"Arrow-leaved Tearthumb is an annual with a fibrous root system, growing each year by reseeding. Common in bogs, marshes and wet meadows. The arrow-shaped leaves and prickly stems helps to distinguish arrow-leaved Tearthumb from most other aquatic shoreline weeds. Tearthumb is commonly found in tidal freshwater marshes in the mid-Atlantic states, but frequently occurs in nontidal wetlands as well. The plant appears to prefer open wetlands such as marshes, wet meadows, ditches, pond margins and along the borders of swamps. It is often found in flooded conditions.","Pink, White",Fibrous Shallow,Early Summer - Late Summer,Summer - Fall,Medium,Prostrate,Fast,Minor,Minor,"Full_Sun, Partial_Shade",2 -- 9,"Wet, Moderate",4.0 - 8.0,"Insectory, Wildlife Food, Wildlife Habitat",Medicine
2458,Arugula,Eruca vesicaria,ERVE,Annual,12,12,4,Summer,"A very easily grown and fast-maturing plant, it succeeds in most soils and conditions, though it prefers some shade in summer. Non mycorrhizal. Habitat: Rubbish tips, harbours, loading areas.","Cream, White, Yellow","Fibrous Shallow, Short Rhizome",Late Spring - Late Summer,Summer - Fall,Medium,Mound,Fast,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 9,"Moderate, Dry",4.5 - 7.5,"Insecticide, Reclamator","Biomass, Essential Oil, Food, Medicine, Oil, Wax, Resin or Polish"
3092,Asparagus-Pea (Winged Pea),Lotus tetragonolobus,LOTE,Annual,12,24,4,Spring-Summer,"Synonymous with Tetragonolobus purpureus. Range: Mediterranean - Portugal to Italy, Greece, Turkey, southern Caucasus and the Levant; Morocco to Egypt. Grows best in light, well-drained soils. Tolerant of low-nutrient soils. Propagation: Pre-soak the seed for 24 hours in warm water and then sow in situ in the spring. The seed usually germinates in 2 - 4 weeks at 15°c.",Red,"Tap, Short Rhizome",Spring - Summer,Summer - Fall,Fine,Spreading,Fast,Minor,Minor,Full_Sun,10 -- 11,"Wet, Moderate",6.0 - 7.5,"Groundcover, Insectory, Nitrogen Fixer","Container Garden, Food, Medicine, Ornamental"
2463,Tall Matsumoto Aster,Callistephus chinensis,CACH,Annual,30,8,,Summer-Fall,Blooms only 14 weeks after sowing - quite impressive for a tall Aster! Matsumoto is one of the 'new' varieties - disease resistant compared to some of the old varieties. Heat tolerant.,White,,Early Summer - Early Fall,,Medium,Upright,Fast,Minor,Minor,Full_Sun,2 -- 9,Moderate,,,Cut Flower
