Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
6989,Arum-leaved Arrowhead,Sagittaria cuneata,SACU,Aquatic,24,0,0,,,,,,,,,,,,,,,0.0 - 0.0,,
2495,Common Bladderwort,Utricularia macrorhiza,UTMA,Aquatic,8,6,0,Spring-Fall,"Bladderworts are carnivorous, free-floating plants of bogs and shallow water, roots are absent.",Yellow,,Late Spring - Early Fall,,Medium,Upright,Moderate,,,"Full_Sun, Partial_Shade, Shade",3 -- 7,,3.0 - 5.0,,"Food, Medicine"
7787,"Bulrush, Cattail (Ingcongolo)",Typha capensis,TYCA,Aquatic,157,118,12,Summer,"Will only grow well where the soil is under the water or very wet.Bulrushes are found throughout the world and southern Africa. It is most common in aquatic situations whether in standing or slow-flowing waters. Marshes, stream banks, dams and lakes are most commonly inhabited by Typha capensis. The muddy substrate of these water bodies help the plants to Owing to variation in water content of marsh habitats, the rhizome structure may show both hydric (water) and xeric (dry) adaptations. anchor its rhizomes firmly.","Brown, Yellow","Rhizome, Rhizome",Early Spring - Late Summer,Fall - Winter,Fine,Clump,Fast,Major,,Full_Sun,2 -- 12,Wet,4.0 - 9.4,"Erosion Control, Insectory, Water Purifier, Water Purifier, Wildlife Habitat","Biomass, Container Garden, Dried Flower, Fiber, Fiber, Food, Food, Food, Medicine, Ornamental"
2496,"Wild Celery (American Eelgrass, Tapegrass)",Vallisneria americana,VAAM,Aquatic,12,7,0,Summer,"Leaves, fruits, and rootstocks are excellent food for waterfowl.",,Fibrous Shallow,Summer - Late Summer,,Fine,Prostrate,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",3 -- 9,Wet,6.0 - 7.3,"Wildlife Food, Wildlife Habitat",
2486,Coontail (Hornwort),Ceratophyllum demersum,CEDE,Aquatic,12,10,0,Spring-Fall,"A good pond oxygenator, it usually grows submerged in the water but is sometimes found floating on the surface. All Ceratophyllum species are obligately submerged aquatics and cannot tolerate periods of emergence. C. demersum is a cosmopolitan submerged aquatic species that has probably already invaded most of its potential exotic range. It has the advantages of being a perennial surviving well overwinter in deeper water and by growing both by asexual reproduction of broken or complete stems and by sexual reproduction of very many seeds. It has a wide ecological tolerance and grows relatively fast. Disturbance of the water body results in increases in growth through changes in nutrient availability but also in faster dispersal around water bodies allowing greater competition with less vigorous species. In general, C. demersum occurs in quiet or slow flowing, hard calcareous, nutrient-rich or eutrophic waters of streams, ditches ,canals, ponds and lakes as a near free-floating aquatic plant where it may form large masses. It is especially favoured by nitrate-rich conditions where it grows in greater abundance. It is a cosmopolitan species. Although the plant is considered rootless,","Green, Pink, Red",,Summer - Early Fall,Fall,Fine,Spreading,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",3 -- 10,Wet,5.9 - 9.4,"Air Cleaner, Toxin Absorber, Water Purifier, Wildlife Food, Wildlife Food, Wildlife Food, Wildlife Habitat, Wildlife Habitat",Container Garden
2494,White Water Crowfoot,Ranunculus aquatilis var. diffusus,RAAQ,Aquatic,12,10,10,Spring-Summer,It generally grows 1-6 inches above water surface.,"White, Yellow","Fibrous Shallow, Rhizome",Late Spring - Summer,Summer - Fall,Fine,Single Stem,Fast,,,Partial_Shade,4 -- 9,Wet,5.0 - 8.0,"Wildlife Food, Wildlife Habitat",Ornamental
2493,Yellow Water Crowfoot (Yellow Water Buttercup),Ranunculus flabellaris,RAFL,Aquatic,10,10,0,Spring,"Aquatic plant, extends a few inches above surface of water.",Yellow,"Fibrous Shallow, Rhizome",Spring - Early Summer,Summer - ?,Fine,Irregular,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",1 -- 5,Wet,6.0 - 8.0,"Wildlife Food, Wildlife Habitat","Medicine, Ornamental"
1686,"Duckweed (Water Lens, Bayroot)",Lemna minor,LEMI,Aquatic,1,2,0,Summer,"Aquatic community. Floating plant. In quiet waters, will form a thick floating mat. Even with a short lifespan, 'Common Duckweed' spreads rapidly, Its habit is to lay along the water surface with its extremities facing upwards. Among the smallest flowering plants known, these tiny plants form a carpetlike cover. Each plant consists of a single flat leaf that floats on the surface of still waters such as ponds and lakes. Excellent forage for waterfowl. Can be aggressive in high nutrient situations. It over-winters in temperate areas by means of resting buds which sink to the bottom of the pond in the late autumn and rise again in the spring.",Green,Fibrous Shallow,Early Summer - Summer,Summer,Fine,Matlike,Fast,Minor,Minor,"Partial_Shade, Shade",4 -- 10,Wet,4.0 - 7.5,"Insectory, Insectory, Soil Builder, Toxin Absorber, Water Purifier, Wildlife Food","Container Garden, Insect Repellent, Medicine, Medicine, Medicine"
1740,"Big Duckweed (Great Duckweed, Minnow-fole)",Spirodela polyrhiza,SPPO,Aquatic,2,1,1,Summer,"Growing on the water surface, this simple, oval-shaped life form consists of a single, flat thallus, which is a plant that combines the functions of both the leaf and the stem. Each tiny (.35"" x .27"") thallus is filled with even smaller pockets of air that give it floating capabilities. Its roots are a group of tiny rootlets coming from a node on the underside of the thallus. Winter and cooler weather cause the thallus to form a starchy off-set called a winter turion. Bud-like in form, and brown to olive green, the turion will detach from the mother plant and sink to the bottom of the water. As spring approaches, it will rise to the surface. Its rapid growth can cause this plant to be invasive.",,Fibrous Shallow,Early Summer - Late Summer,,Fine,Matlike,Fast,Minor,Minor,Full_Sun,4 -- 10,Wet,6.0 - 8.0,"Domestic Animal Forage, Insectory, Water Purifier, Wildlife Food, Wildlife Habitat","Container Garden, Food, Medicine"
3721,Yellow Floating Heart,Nymphoides peltata,NYPE,Aquatic,6,36,0,Spring-Fall,"Best grown in light organically rich soils in 1-2ft (30-60cm) of still water, but has been found in water as deep as 12ft (13m). Reproduces via seeds and broken stems. Non-mycorhizzal.",Yellow,"Stolon, Rhizome",Late Spring - Fall,Summer - Fall,Coarse,Irregular,Moderate,Minor,Minor,Full_Sun,5 -- 10,Wet,5.5 - 7.5,"Water Purifier, Wildlife Food","Aromatics/Fragrance, Container Garden, Food, Medicine, Ornamental"
