Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
3885,Alexanders (Maceron),Smyrnium olusatrum,SMOL,Biennial,47,11,6,Spring,"Alexanders is a biennial herbaceous plant with a thick elongated root. The stems grow up to 150 cm and hollow on fruiting. It has large, pinnatisect, basal leaves, with ovate to subrhombic terminal segments; the caulinar leaves are pinnatisect. The umbels have seven to 22 rays, with black. didymous fruit measuring 5.5 to 7.5 x 4 to 7.5 mm. Alexanders flowers from April to June and propagates well from seed. Succeeds in most soils but prefers an open sunny position in a well-drained moisture retentive soil. Hardy to about -15c. At one time this plant was extensively grown for its edible leaves and stems but it has now fallen into virtual disuse, having been replaced by celery. In Europe wild populations of alexanders grow abundantly in salt-marshes and uncultivated land near the sea. normally in lime soils. It is also found in hedges. woods and on waysides.",Yellow,"Tap, Short Rhizome",Spring - Late Spring,Spring - Fall,Fine,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",5 -- 9,Moderate,5.0 - 5.5,"Domestic Animal Forage, Insectory","Food, Food, Food, Medicine"
8278,Iraqi Allium,Allium anacoleum,ALAN,Biennial,10,8,3,Spring-Summer,"Allium anacoleum is a plant species native to Turkey and Iraq. It is a herbaceous, perennial plant growing from an underground bulb. It is a semi-evergreen variety which forms clumps of long narrow leaves, topped in summer with drumsticks pastel flowers. The small bulb is formed on a short rhizome - as more bulbs are produced the plant develops into a moderate-sized clump. HABITAT: Rocky areas, grasslands, subhumid pastures, dry rocky slopes near melting snow at an ALTITUDE of 2,400-6,562 feet. Turkey distribution: E. Anatolia - General distribution: N. Iraq - Provinces where it is located: B7 B8 C9. - Element: Iran -Turan. - HABITAT: Damp meadows near rivers. Flood-plain meadows, birch groves. Chalk & sand. - POLLINATION: Bees, butterflies & Insects. PROPAGATION: Seed, bulbs, or by division. PROPAGATION: Seed, bulbs, or by division.","Pink, Purple, White","Bulb, Short Rhizome",Late Spring - Early Summer,Summer - Fall,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 9,"Moderate, Dry",6.1 - 7.8,"Dynamic Accumulator, Insectory","Medicine, Ornamental"
6256,"Lemon Bergamot (Lemon beebalm, Lemon Mint)",Monarda citriodora,MOCI,Biennial,24,24+,8,Spring-Fall,"Native to the southern United States and northern Mexico, Lemon Bee Balm is an attractive, if short-lived, plant. Its foliage has a mild lemon or oregano fragrance. Lemon Bee Balm can be distinguished from most Monarda spp. (Bee Balms) in Illinois by its more narrow leaves, which are somewhat downy-pubescent, and by its annual or biennial habit. Known by a number of common names, lemon beebalm is a 1-2 ft., aromatic winter annual with unusual, tuft-like, lavender to pink, whorled flower heads. Each whorl in the elongated spike is subtended by whitish or lavender, leaf-like bracts. HABITAT: Prairie, Plains, Meadows, Pastures, Savannas, Hillsides, Slopes. It is susceptible to powdery mildew. ELEVATION: 4,000–8,500 feet. PROPAGATION: Seeds. Once established, should reseed itself. Seeding rate is 3 pounds/acre. There are approximately 819,000 seeds/pound. In rich soil with abundant moisture, this wildflower may become excessively tall and topple over.","Lavender, Pink, White","Rhizome, Fibrous Shallow",Spring - Summer,Summer - Fall,Medium,Upright,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",5 -- 10,"Moderate, Dry",6.0 - 7.9,"Insectory, Insectory, Wildlife Food","Aromatics/Fragrance, Essential Oil, Essential Oil, Food, Insect Repellent, Medicine, Ornamental"
2417,Burdock,Arctium lappa,ARLA,Biennial,72,36,60,Summer-Fall,"Burdock is cultivated for its edible root in Japan and has a long history of medicinal use. Propagation: Seed - best sown in situ in the autumn. The seed can also be sown in spring. Germination can be erratic, it is best to sow the seed in trays and plant out the young plants before the tap-root develops. Seed requires a minimum temperature of 10°c, but a temperature of 20 - 25°c is optimum. Germination rates can be improved by pre-soaking the seed for 12 hours or by scarification. They germinate best in the light. The autumn sowing should be made as late as possible because any plants with roots more than 3mm in diameter in the spring will quickly run to seed if cold temperatures are followed by daylengths longer than 12½ hours. Greater burdock is recognized by its feltless capitula and the yellow hooked tips of their involucral bracts. Woolly burdock (A. tomentosum; also known as downy burdock ), whose capitulum has a woolly covering, is much more common, as is the slightly smaller lesser burdock (A. minus). Burdocks that grow together easily cross-breed, and part of the greater burdock stand is actually comprised of hybrids between greater and lesser burdock. Reduces the value","Purple, Rose",Tap,Summer - Fall,Summer - Fall,Coarse,Upright,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 7,"Moderate, Dry",4.6 - 7.8,"Domestic Animal Forage, Dynamic Accumulator, Insectory, Soil Cultivator, Wildlife Food","Essential Oil, Food, Food, Food, Food, Food, Food, Food, Medicine, Medicine, Medicine, Medicine, Medicine, Medicine, Medicine"
2202,Celery,Apium graveolens,APGR,Biennial,30,12,,Summer,Celery is a widely cultivated biennial that grows wild in salty soils.,White,Tap,Summer - Late Summer,,Medium,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",5 -- 9,Moderate,5.2 - 8.3,Insecticide,"Essential Oil, Food, Medicine"
2080,Chervil,Anthriscus cerefolium,ANCE,Biennial,24,15,6,Summer,"Lacy, fern-like leaves with delicate white flowers",White,Tuber,Late Spring - Late Summer,,Fine,Upright,Fast,Minor,Minor,Partial_Shade,2 -- 9,Moderate,5.8 - 7.6,"Insecticide, Insectory","Food, Medicine"
3746,Land Cress,Barbarea verna,BAVE,Biennial,8,12,12,Spring,"non mycorrhizal. Other names for upland cress are land cress, dryland cress, cassabully, and creasy salad.",Yellow,"Fibrous Deep, Fibrous Deep",Spring - Late Spring,Summer,Medium,Rosette,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",3 -- 11,Moderate,6.0 - 7.0,"Insectory, Wildlife Food",Food
2436,Curly-top Gumweed,Grindelia squarrosa,GRSQ,Biennial,36,12,72,Summer,Well adapted to drought conditions and sandy soils.,,"Tap, Short Rhizome",Late Summer,,Medium,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 8,"Moderate, Dry",,"Dynamic Accumulator, Nurse, Toxin Absorber","Dye, Medicine"
7525,"Larger Tinsel Flower (Slangwortel, Ikhathazo)",Alepidea amatymbica,ALAM,Biennial,79,24,6,Spring-Summer,"Alepidea amatymbica is a robust, erect perennial herb, up to 79 inches tall. The stem is hollow, grooved, branched, with a large, aromatic root stock of numerous slightly fleshy roots up to .98 inches in diameter. Bi/Annual, Perennial. RANGE: SA Distribution: Eastern Cape, Free State, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga. - Fruits are egg-shaped and seeds are flat on one side and curved on the other side. HABITAT: Damp grasslands near streams. It is common in the summer rainfall grasslands of southern Africa. - ELEVATION: 4,987 to 8,497 feet. The genus name Alepidea means ‘without a scale’, from the Greek a-, meaning without, and lepis meaning ‘a scale’. This species is named after the amaThembu, people whose historical territory is the former Transkei, now in the Eastern Cape, where this plant occurs. PROPAGATION: Seed or Division. Fresh seed is the best method.","White, Yellow","Rhizome, Long Rhizome",Summer - Late Fall,Fall,Medium,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",7 -- 8,Moderate,5.6 - 7.3,"Insectory, Reclamator","Aromatics/Fragrance, Insect Repellent, Medicine, Medicine, Ornamental"
2198,Foxglove,Digitalis purpurea,DIPU,Biennial,60,24,8,Summer,"Grows well on average, well-draining soils; best if they are organically rich. It produces many seeds and self-sows freely in agreeable conditions. Produces a basal rosette its first year. Strawberry foxglove hardy to zone 3.","Pink, Purple, White","Fibrous Deep, Tap",Early Summer - Late Summer,Summer - Fall,Medium,Single Stem,Moderate,Minor,Medium,"Full_Sun, Partial_Shade",4 -- 9,Moderate,4.5 - 7.5,"Insecticide, Insectory, Wildlife Food","Container Garden, Cut Flower, Dye, Medicine, Ornamental"
