Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
2525,Formosa Acacia (Thinking-of-Each-other Tree),Acacia confusa,ACCO,Deciduous Shrub,50,40,20,Spring-Summer,"This plant is weedy. We do not recommend planting it in Hawaii. This species is the most common ornamental acacia on the Hawaiian Islands, and has even become naturalized in some locations. It s a fast-growing, relatively short-lived (~40 years) tree. Formosan koa, which is propagated by seed, is commonly grown as a street and shade tree. Acacia confusa grows near subtropical areas at low latitudes, mostly in coastal areas such as Lingnan and Taiwan Island in China. Acacia confusa likes warm and hot climate, also low temperature, like light, also resistance to half shade, drought and poor soil, also resistance to short-term floodings, like acid soil. The tree will usually resprout following a fire, so long as it is not too severe. The fire will also stimulate the germination of seeds, which will grow rapidly to revegetate the burnt-over areas. The growth speed of Acacia Confusa is very fast and the adaptability is very strong. It can grow normally in a variety of environments.",Yellow,"Tap, Rhizome",Spring - Late Spring,Summer - Fall,Medium,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11 -- 9,"Wet, Moderate",5.0 - 7.0,"Erosion Control, Nitrogen Fixer, Reclamator, Soil Builder, Wildlife Food","Aromatics/Fragrance, Biomass, Dye, Medicine, Medicine, Ornamental, Wood"
3139,Gum Acacia,Acacia farnesiana,ACFA,Deciduous Shrub,25,25,36,All Year,"Needs loose, well-draining soils. Flowering generally coincides with wet seasons. Vase shape.","Orange, Yellow",Fibrous Deep,Winter - Spring,Summer - Winter,Fine,Rounded,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",9 -- 11,Moderate,5.0 - 7.5,"Domestic Animal Forage, Erosion Control, Nitrogen Fixer, Wildlife Food","Aromatics/Fragrance, Biomass, Dye, Essential Oil, Medicine, Oil, Wax, Resin or Polish, Wood"
7506,Whitethorn Acacia,Acacia constricta (Vachellia constricta),ACCO,Deciduous Shrub,20,15,36,Spring-Fall,"May cease flower and leaf production during severe droughts. Spines occur in pairs at stem nodes. Significantly fewer pods are produced with self-fertilization. Flowering typically occurs once in spring and once in fall. Generally a multi-stemmed tree but can be trained as a single-stem. Can tolerate poor, shallow soils as long as they are well-drained.",Yellow,"Tap, Fibrous Shallow",Spring - Fall,Fall - Winter,Fine,Rounded,Slow,Minor,Minor,Full_Sun,6 -- 10,"Moderate, Dry",7.0 - 8.5,"Domestic Animal Forage, Erosion Control, Hedge, Insectory, Nitrogen Fixer, Reclamator, Wildlife Food, Wildlife Habitat","Aromatics/Fragrance, Coppice, Food, Medicine, Ornamental, Soap"
3905,American Green Alder (Mountain Alder),Alnus alnobetula subsp. crispa,ALAL,Deciduous Shrub,30,15,24,Spring-Fall,"Forms a dense thicket. Aka Alnus alnobetula. This species is widely distributed throughout interior, central, and northern Alaska across the Yukon Territory and interior Canada to Labrador, Newfoundland, and Greenland. It extends south through New England and the Great Lakes States, and into the Pacific Northwest.","Brown, Yellow","Fibrous Shallow, Rhizome",Spring - Late Spring,Fall,Medium,Pyramidal,Fast,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 7,"Wet, Moderate",5.0 - 7.0,"Domestic Animal Forage, Erosion Control, Mulch Maker, Nitrogen Fixer, Nurse, Nurse, Nurse, Reclamator, Soil Builder, Wildlife Food, Wildlife Food, Wildlife Food, Wildlife Habitat, Wildlife Habitat","Biomass, Coppice, Dye, Insect Repellent, Medicine, Wood"
3054,Hazel Alder (Tag Alder),Alnus serrulata,ALSE,Deciduous Shrub,15,15,12,Spring,"Alnus serrulata, commonly called tag alder, smooth alder or hazel alder, is a multi-stemmed, suckering, thicket-forming, large deciduous shrub or small tree that typically grows to 10-20’ tall. It is most often seen in a multi-trunked form with a densely branched crown. It is native to boggy ground along streams/lakes/rivers, wetland margins, springs, spring-fed meadows, ditches and swampy fields from Nova Scotia to Illinois and Missouri south to eastern Texas and northern Florida. Best for moist areas of the landscape. Tolerates poor soils. Streambanks. Pond margins. Because the plant resides in riversides or stream streambanks, it usually functions as a stabilizer and restorer for those habitats.","Brown, Red, Yellow","Fibrous Shallow, Long Rhizome",Early Spring,Summer - Fall,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",5 -- 8,"Wet, Moderate",5.5 - 7.5,"Erosion Control, Hedge, Insectory, Insectory, Nitrogen Fixer, Reclamator, Wildlife Food, Wildlife Food",Medicine
3904,Sitka Alder (Mountain Alder),Alnus viridis,ALVI,Deciduous Shrub,15,10,24,Spring-Fall,"Plant is an indicator of high water table. Forms a dense thicket. Aka Alnus sinuata, A crispa ssp sinuata, wavy leaf alder, green alder.","Brown, Green",Fibrous Shallow,Spring - Late Spring,Fall,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",2 -- 5,"Wet, Moderate",5.0 - 6.5,"Domestic Animal Forage, Erosion Control, Nitrogen Fixer, Nurse, Reclamator, Soil Builder, Wildlife Food, Wildlife Food, Wildlife Habitat","Coppice, Dye, Medicine, Wood"
8315,Carduchian Wild Almond,Prunus carduchorum,PRCA,Deciduous Shrub,4,2,18,All Year,"Prunus carduchorum (Persian: چغالک‎) is a rare species of wild almond native to Turkey, Iraq, & Iran, near where the three countries meet. It is a subspinescent shrub 1.6-3.94 feet tall. A native of the Eastern Anatolian Montane steppe ecoregion. ELEVATION: 4,921 to 9-843 feet above sea level. HABITAT: Marl slopes, in degraded oak forests. Genetically it groups with other scrubby almonds from the region. Habitat. On rocky slopes with limestone or metamorphic ricks, in Astragalus zones or open degraded forest. This species is poorly known, and rare in distribution. It superficially resembles Prunus lycioides, however, it differs by having a campanulate hypanthium and lackingthorns, even though it looks thorny because of its rigid branchelets. Based on morphology it was thought to yield Prunus × pabotii when crossed with Prunus haussknechtii. The specific epithet, carduchorum, means ""of the Carduchi, the wild tribesman of Kurdistan who so severely harried Xenophon and the Ten Thousand"". Thornless. Only P. longispinosa and P. carduchorum coexist at the same habitat and overlap at their area of distribution.","Green, Orange, Pink, Purple, Red, White, Yellow","Tap, Fibrous Shallow",Early Spring - Late Spring,Spring - Summer,Medium,Rounded,Fast,Minor,Minor,Full_Sun,7 -- 10,"Moderate, Dry",6.1 - 8.4,"Insectory, Wildlife Food","Biomass, Food"
2829,Dwarf Russian Almond,Prunus tenella,PRTE,Deciduous Shrub,5,5,14,Spring-Summer,"Almond bears white, pink or red flowers in May depending on whether the species or a cultivar is grown. The flowers are 3/4 inch across and the fruit is a red cherry most ornamental in summer.","Pink, Red, White",Rhizome,Late Spring,,,Rounded,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",2 -- 6,"Moderate, Dry",5.0 - 7.5,Wildlife Food,Food
8287,Silver Almond (Silbermandelbäumchen),Prunus argentea,PRAR,Deciduous Shrub,9,9,18,All Year,"Native of the Near East; in cultivation 1756. RANGE: Levant, Turkey, Iraq & western Iran. A thorny shrub 01.6-9 feet tall, rough bark. HABITATS: Open oak woodlands, rocky slopes, dry silted areas, & steep banks of streams. Arid locations. Often on Limestone. ELEVATIONS: 1,640 to 6,562 feet. Prunus argentea is easy to identify, having diagnostic characters that are unambiguous and obvious. It is a thorny bush that is heavily white-tomentose, and can be recognized from a distance. Leaves, stems, and fruits are all covered with the white – silvery pubescence. Not hardy in the open. On a wall, needs a sunny place. In shade, leaves lose their whiteness, & turn mildew rather than silver. It can be considered safe to eat any fruit or seed from species in this genus that either have a sweet flavor or are slightly bitter. Great caution should be taken, however, if the flavor is moderately to very bitter. Requires hot summers to thrive. Grows poorly in maritime areas. The plant is used in almond breeding programs. It belongs to the primary Gene Pool of the Almond (Prunus dulcis) & the tertiary Gene Pool of the Peach (Prunus persica). It has potential as a gene donor for crop improvement. PRO","Pink, Rose","Tap, Fibrous Shallow",Early Spring - Spring,Spring - Summer,Medium,Rounded,Fast,Minor,Minor,"Full_Sun, Partial_Shade",7 -- 10,"Moderate, Dry",6.1 - 8.4,Insectory,"Aromatics/Fragrance, Food, Medicine, Ornamental"
3062,Antelope Bitterbrush,Purshia tridentata,PUTR,Deciduous Shrub,15,12,7,Spring-Summer,"Can be a very low and prostrate spreading plant or grow in a tree form dependent upon environmental considerations regarding site characteristics and browse levels. Attractive in bloom. Chipmunks are a major seed disperser.Has a nice floral scent. Aka deerbrush, buckbrush, and antelope brush.It hybridises freely with cliffrose (Purshia stansburiana).",White,Tap,Early Spring - Early Summer,Summer,Medium,Spreading,Slow,Medium,Medium,Full_Sun,5 -- 9,Dry,5.2 - 7.9,"Domestic Animal Forage, Erosion Control, Insectory, Nitrogen Fixer, Reclamator, Wildlife Food","Dye, Fiber, Medicine, Wood"
