Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
2086,Amur Maackia,Maackia amurensis,MAAM,Deciduous Tree,30,30,48,All Year,"Best in well-drained soil. Prefers growing in full sun. Heavy blooming does not occur every year. Starts flowering when fairly young. This member of the pea family is both closely related and similar in appearance to the slightly larger yellowwood (Cladrastis). Yellowwood has more attractive flowers and excellent fall color. Amur maackia is planted in urban areas because of its unique appearance and tolerance to both flooding and drought conditions (Meyer). The bark of the tree is described by some as “zombie skin” because of its amber color, peeling texture, and green undertones. Propagation: Pre-soak the seed for 24 hours in hot water and then sow it in a cold frame in the autumn. The seed can also be pre-soaked and sown in late winter in a greenhouse. Variable germination. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Root cuttings 4cm long in December.",White,Fibrous Deep,Summer - Late Summer,Fall - Winter,Medium,Rounded,Slow,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 7,"Moderate, Dry",5.5 - 8.5,"Insectory, Nitrogen Fixer, Wildlife Habitat","Aromatics/Fragrance, Container Garden, Dye, Food, Medicine, Ornamental, Soap, Wood"
2358,Haralson Apple,Malus pumila 'Haralson',MAPU,Deciduous Tree,14,10,36,Spring-Fall,White-pink flower; fall harvest of edible fruits; can be grown in partial shade with less fruit production. Ripen early October.,White,Fibrous Deep,Late Spring,Fall,Medium,Rounded,Slow,Medium,Medium,"Full_Sun, Partial_Shade",3 -- 9,Moderate,5.1 - 7.5,,Food
2359,Honeycrisp Apple,Malus pumila 'Honeycrisp',MAPU,Deciduous Tree,14,10,36,Spring-Fall,White-pink flower; fall harvest of edible fruits; can be grown in partial shade with less fruit production. Ripen early October.,White,Fibrous Deep,Late Spring,Fall,Medium,Rounded,Slow,Medium,Medium,Full_Sun,3 -- 9,Moderate,5.1 - 7.5,Soil Builder,Food
2656,Honeygold Apple,Malus pumila 'Honeygold',MAPU,Deciduous Tree,14,10,0,Spring-Fall,"A sweet, crisp golden apple good for eating and cooking.",White,Fibrous Deep,Late Spring,,Medium,Rounded,Slow,Medium,Medium,,4 -- 8,Moderate,5.1 - 7.5,"Erosion Control, Soil Builder",Food
4414,Texas White Ash (Mountain Ash),Fraxinus texensis,FRTE,Deciduous Tree,50,40,18,All Year,"Texas Ash is a smaller, more drought tolerant relative of White Ash, F. americana. HABITAT: Limestone bluffs. RANGE: Dallas in north central Texas west & south through central Texas and Southern Oklahoma. Deciduous. Water requirements are low, although it can tolerate moderate amounts of moisture with good drainage. Leaves turn glowing red, gold, orange & purple in the fall. Distinguished from White Ash by its leaflets, which are more rounded, & by having 5-7 leaflets instead of 7-9. Fruit Characteristics: small woody winged samara in 6"" - 8"" long panicles. Soil Requirements: adaptable. Male and female flowers borne on separate trees. Female flowers in loose clusters appearing with the new leaves; male flowers appear as dark, purplish clusters near the end of the twigs, often before the leaves. Prune for strong structure. Thorny. PROPAGATION: Seeds, cuttings or transplants. Fruit characteristics: does not attract wildlife; no significant litter problem; persistent on the tree; showy. LIFESPAN: 40 - 50 Years.","Green, Purple, White","Fibrous Shallow, Long Rhizome",Spring,Summer,Medium,Rounded,Slow,Minor,Major,"Full_Sun, Partial_Shade",5 -- 9,"Moderate, Dry",5.6 - 8.4,"Domestic Animal Forage, Reclamator, Wildlife Habitat, Wildlife Habitat","Biomass, Ornamental, Wood"
4379,Azarole,Crataegus azarolus,CRAZ,Deciduous Tree,15,15,60,Spring,"Although the species regenerates after fire, repeated fires may destroy some individuals. Thorny.","Green, White","Tap, Long Rhizome",Spring - Late Spring,Fall - Winter,Medium,Rounded,Slow,Minor,Major,"Full_Sun, Partial_Shade",5 -- 9,"Moderate, Dry",6.0 - 7.0,"Erosion Control, Hedge, Insectory, Nurse, Wildlife Food, Wildlife Habitat","Food, Medicine, Ornamental"
7522,Baobab (Monkey Bread Tree),Adansonia digitata,ADDI,Deciduous Tree,49,65,78,All Year,"The tree is characteristic of thorn woodlands of the African savannahs, which are characterized by low altitudes with 4-10 dry months a year split into 1 or 2 periods. A. digitata is resistant to fire, termite and drought, and prefers a high watertable. It occurs as isolated individuals or grouped in clumps irrespective of soil type. It is not found in areas of deep sand, presumably because it is unable to obtain sufficient anchorage and moisture. A. digitata is very sensitive to waterlogging and frost. All A. digitata locations can be described as arid and semi-arid, with not more than a day frost per year. Once established, the seedlings grow well, becoming 2 m tall in 2 years, and 7 m tall in 10 years. The tree then grows slowly but lives long; under favourable conditions some A. digitata may live for more than 1000 years. There is a prehistoric drawing of an A. digitata tree at the National Museums of Kenya. The trunk may even shrink during periods of severe drought. A. digitata may be pollarded or lopped to encourage abundance of leaves. The tree is characteristic of thorn woodlands of the African savannahs, which are characterized by low altitudes with 4-10 dry months a yea",White,"Tap, Tuber",Early Summer,Spring - Fall,Coarse,Spreading,Slow,Minor,Minor,Full_Sun,10 -- 12,Dry,6.0 - 6.9,"Domestic Animal Forage, Insecticide, Insectory, Soil Builder, Water Purifier","Biomass, Container Garden, Dye, Fiber, Food, Food, Food, Medicine, Medicine, Medicine, Oil, Wax, Resin or Polish, Wood"
1960,American Beech,Fagus grandifolia,FAGR,Deciduous Tree,95,40,32,Spring-Fall,"Yellow flower; green foliage. Beech can regenerate by root suckers or by stump sprouts. Sprouts may develop on the trunk of a tree immediately below a wound and from the top of stumps. Adventitious buds develop in callus tissue of the cambial layers of stumps. Sprouts can also develop from the exposure of the roots to air or elevated temperatures.Sometimes root sprouts develop when no apparent injury has occurred. Fire usually top-kills American beech. Mortality of young trees is related to fire severity: Cool fires kill 40 to 50 percent of the seedlings and saplings. It can be a beautiful tree in a large area, but is not recommended for smaller landscapes. American beech prefers moist, well-drained, acid soil, is intolerant of wet or compacted soil, prefers sun but will tolerate shade. It grows best in moist mountain coves and is often found scattered with oaks and hickories in rich, well-drained bottom land. In the mountains, it is sometimes found in dense, unmixed stands or in association with sugar maples, yellow birch, and other hardwoods. It can be difficult to grow other plants or lawn underneath a standing American beech. Beech develops suckers from its vast system of",Yellow,"Tap, Fibrous Shallow",Late Spring - Early Summer,Summer - Fall,Medium,Upright,Slow,Medium,Medium,"Full_Sun, Partial_Shade, Shade",4 -- 8,"Moderate, Dry",4.1 - 6.5,"Wildlife Food, Wildlife Habitat","Biomass, Dye, Food, Medicine, Medicine, Oil, Wax, Resin or Polish, Wood"
111,Blue Beech (American Hornbeam),Carpinus caroliniana,CACA,Deciduous Tree,35,35,20,Spring-Fall,"The American Hornbeam is a short, stubby tree that can have one or more trunks, each a foot wide and aesthetically pleasing. The bark is bluish-gray, thin, fairly smooth, and heavily fluted. Difficult to transplant and best moved in spring. Does well in sandy or clay loams with high organic matter, regular moisture and slightly acidic soils. Does well in heavy shade and is found as an understory tree in forests. Use in naturalized areas or along streams or ponds. It is tolerant of drier sites, some sun and periodic flooding. American hornbeam tolerates wet sites. It does well in shade, and will perform admirably in full sun, where it becomes more dense and uniform with the proper amount of moisture. It will withstand flooding, and is more tolerant of heat than other members of this genus. It likes deep, fertile, moist, slightly acidic soils, and is hardy to Zone 3. American hornbeam will not tolerate compacted soils, and should not be planted in areas that have undergone grade changes. Although some cankers and leaf spots bother this tree, it is basically disease- and insect-free. The woody root system is shallow and spreading.","Green, Yellow","Fibrous Shallow, Rhizome",Spring - Late Spring,Summer,Medium,Globe,Slow,Minor,Minor,"Partial_Shade, Shade",4 -- 9,"Wet, Moderate",4.0 - 7.4,"Hedge, Insectory, Wildlife Food, Wildlife Food, Wildlife Habitat","Food, Medicine, Ornamental, Wood"
8092,Bhilwa (Marking Nut Tree),Semecarpus anacardium,SEAN,Deciduous Tree,49,55,36,All Year,"Dioecious - both male and female forms need to be grown if fruits and seed are required. Nursery Technique: Raising Propagules : The seedlings are to be raised in nursery during March to April. Normally, 30 days are required for seed germination. Transplanting of seedlings is done in rainy season. Seedlings are frost sensitive but have good power of recovery. They are found prone to damping off disease at a tender stage. Propagule Rate and Pre treatment : Alternate days soaking of seeds and drying in cow dung for 15 days hasten seed germination. Seed treatment in concentrated H2SO4 for 5 minutes followed by washing in running water induces 60-65% germination. Intercropping with any short duration crop can be done from early stage of planting till 3-4 years age. Economic yield of seed production takes place after 10 years of plantation. The flowering begins in the monsoon during June-July and the fruits start ripening during November - January. The economic life of the tree is about 25 to 30 years. It has got no specific soil affinity and Easily recognized by large leaves and the red blaze exuding resin, which blackens on exposure.","Green, Yellow",Rhizome,Late Spring - Early Summer,Fall - Winter,Medium,Spreading,Slow,Minor,Minor,"Partial_Shade, Shade",10 -- 11,"Moderate, Dry",5.5 - 7.5,", Wildlife Food, Windbreak","Biomass, Dye, Food, Food, Insect Repellent, Medicine, Medicine, Oil, Wax, Resin or Polish"
