Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
8017,Adhatoda,Justicia adhatoda,JUAD,Evergreen Shrub,13,13,18,All Year,"A perennial evergreen and highly branched wild terrestrial shrub with unpleasant smell and bitter taste. The plant lives for multiple seasons and retains its leaves throughout the year. The flowers last for 3-5 days, they are protandrous and pass through three distinct phases: male, bisexual and female. Its broad and smooth edged lanceolate leaves measuring 10-15 cm in length and 5 cm wide. The flower has large white petals streaked with purple on the lower lip. a perennial evergreen and highly branched wild terrestrial shrub with unpleasant smell and bitter taste. The plant lives for multiple seasons and retains its leaves throughout the year. The flowers last for 3-5 days, they are protandrous and pass through three distinct phases: male, bisexual and female. Its broad and smooth edged lanceolate leaves measuring 10-15 cm in length and 5 cm wide. The flower has large white petals streaked with purple on the lower lip. a perennial evergreen and highly branched wild terrestrial shrub with unpleasant smell and bitter taste. The plant lives for multiple seasons and retains its leaves throughout the year. The flowers last for 3-5 days, they are protandrous and pass through three disti",White,Fibrous Shallow,Late Winter - Spring,Summer,Medium,Globe,Fast,Minor,Medium,"Partial_Shade, Shade",9 -- 11,"Moderate, Dry",5.5 - 8.0,"Fungicide, Hedge, Insecticide, Insectory, Insectory, Reclamator","Dye, Food, Medicine, Medicine, Medicine, Medicine, Medicine, Ornamental, Wood, Wood"
4880,Algerita (Mexican Barberry),Berberis trifoliolata (Mahonia trifoliolata),BETR,Evergreen Shrub,8,6,24,All Year,"Propagated by seeds, cuttings, suckers, and layering. Lignotuberous. Best in well-drained soils. Forms thickets. Tolerant of light shade.",Yellow,Tap,Late Winter - Early Spring,Spring - Summer,Medium,Upright,Slow,Minor,Minor,"Full_Sun, Partial_Shade",6 -- 10,"Moderate, Dry",6.5 - 8.0,"Fungicide, Hedge, Insectory, Wildlife Food, Wildlife Habitat","Aromatics/Fragrance, Dye, Food, Medicine, Ornamental"
7526,"Japan Aloe, Krantz Aloe",Aloe arborescens,ALAR,Evergreen Shrub,9,6,19,Fall-Winter,,"Orange, Red",,Late Fall - Early Winter,Fall - Winter,Coarse,Rosette,Fast,Minor,Minor,Full_Sun,8 -- 11,"Moderate, Dry",6.0 - 7.0,"Hedge, Insectory",Medicine
3158,Annatto,Bixa orellana,BIOR,Evergreen Shrub,20,12,60,All Year,"Best in organically rich, consistently moist but well-draining soils. Fruits ripen year long in tropical climates, primarily in summer. Seed-grown plants take comparatively long to flower. Produces root suckers.",Pink,"Tap, Fibrous Deep",,,Coarse,Rounded,Moderate,Minor,Minor,Full_Sun,10 -- 12,Moderate,5.5 - 7.5,"Hedge, Insectory","Biomass, Dried Flower, Dye, Essential Oil, Food, Insect Repellent, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood"
216,Pyramidal Arborvitae,Thuja occidentalis 'Pyramidalis',THOC,Evergreen Shrub,75,15,30,Spring,"Not practical for highways. Susceptible to winter burn. If desired, shape can be maintained with minimal pruning. Any portion of the plant is considered toxic, if ingested.",Brown,Fibrous Shallow,Spring - Late Spring,,Medium,Pyramidal,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",2 -- 8,"Wet, Moderate",5.1 - 7.5,"Erosion Control, Soil Builder",
207,Techny Arborvitae,Thuja occidentalis 'Techny',THOC,Evergreen Shrub,25,20,30,Spring,"Good dense hedge or screen. Retains deep green color all year. Not recommended for roadsides unless in protected locations & where deer population is low. Any portion of the plant is considered toxic, if ingested.",Brown,Fibrous Shallow,Spring - Late Spring,,Medium,Pyramidal,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",3 -- 8,"Wet, Moderate",5.1 - 7.0,"Erosion Control, Soil Builder",
208,Woodward Globe Arborvitae,Thuja occidentalis 'Woodwardii',THOC,Evergreen Shrub,5,5,30,Spring,"Globe form that 's wider than it is high. Tends to winter burn so best where it will receive winter shade. Retains shape with no trimming. Any portion of this plant is considered toxic, if ingested.",,Fibrous Shallow,Spring - Late Spring,,Medium,Globe,Slow,Minor,Minor,"Full_Sun, Partial_Shade, Shade",3 -- 8,"Wet, Moderate",5.1 - 7.0,"Erosion Control, Soil Builder",
4868,Arrayan (Chilean Myrtle),Luma apiculata,LUAP,Evergreen Shrub,20,20,36,All Year,"Old plants develop smooth cinnamon-colored bark with a creamy white under bark, exfoliating. Leaves simple, opposite, elliptic to oval, 1.2-2.5 cm long, ending in an abrupt point (apiculate), dull dark green above, lighter below. Flowers solitary, white, about 2 cm across, 4-5 petals, stamens grouped in a ring and conspicuous, anthers pink; blooms from mid-summer to mid-fall. Blue-black fruit, edible and sweet but not highly regarded. Works well planted singly or as a group of trees planted together (plant in a location where the bark can be admired). Grows to 60 feet tall in the wild. Succeeds as a hedge, small tree, or bonsai as well as it is very tolerant of clipping.",White,Fibrous Deep,Summer - Early Fall,Fall - Winter,Medium,Rounded,Moderate,Minor,Minor,Full_Sun,9 -- 10,Moderate,5.6 - 7.5,"Hedge, Insectory","Aromatics/Fragrance, Container Garden, Food, Ornamental, Soap"
7537,Spiny Wild Asparagus,Protasparagus stipulaceus,PRST,Evergreen Shrub,118,60,8,All Year,"Protasparagus stipulaceus (asparagus stipulaceus) is a range-restricted species. It is known from 12 locations & is declining due to ongoing habitat loss & degradation. South African endemic. Western Cape. It is possibly restricted to the southern Cape Peninsula, but may occur as far as the Agulhas Plain. HABITATS: Terrestrial. Peninsula Sandstone Fynbos, Peninsula Granite Fynbos, Cape Flats Dune Strandveld, Hangklip. Fynbos on deep sand over limestone. It occurs on rocky lower slopes and ridges near the coast. Usually on the dunes near the sea, often amongst Restionaceae. This species is threatened by ongoing habitat loss to urban expansion around Simon's Town, as well as spreading alien invasive plants around Red Hill. Other species in this group include the widespread Asparagus suaveolens and Asparagus capensis, the coastal Asparagus mariae of Agulhas, Asparagus flavicaulis, Asparagus burchellii & Asparagus spinescens.. - PROPAGATION: Seeds, division of the root ball by breaking it up into 2 or more parts (root & crown of each part must be kept intact).",White,"Rhizome, Fibrous Shallow",Early Spring - Late Spring,Summer - Fall,Fine,Clump,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",8 -- 11,"Moderate, Dry",5.1 - 7.3,", Insectory","Medicine, Medicine"
3068,Entire Leaf Mountain Avens (Piluit),Dryas integrifolia,DRIN,Evergreen Shrub,1,2,9,Summer,"Height ranges from 5-15cm (3-6in). Flowers are heliotropic. Sometimes deciduous. Ecology and habitat. Substrates: wet meadows , depressions of low-centre polygons, river terraces, tundra, slopes, ridges; imperfectly drained moist areas (rarely), dry, moderately well-drained areas; rocks, gravel, sand, silt, clay; with low organic content. Thrives in soils with low organic content. Mountain avens plants were used to determine the seasons, particularly in the summer. When they are curled tightly it means it is midsummer. As soon as they start to uncoil it is the approach of autumn.","Cream, White","Tap, Short Rhizome",Late Spring - Summer,Summer,Medium,Matlike,Slow,Minor,Minor,Full_Sun,1 -- 6,Moderate,6.5 - 8.0,"Insectory, Reclamator, Wildlife Food",Dye
