Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
5049,Mulga Acacia (Mulga Wattle),Acacia aneura,ACAN,Evergreen Tree,50,45,36,Summer-Fall,"A. aneura is native to Southwest Queensland in Australia, and is the dominant species of that region. Mulga flowers episodically during the warm season, mostly heavily during fall. The common name, Mulga"" is an Australian Aboriginal word that means dream seed, both the tree and it’s seed are part of their mythology. The canopy can extend to the ground. Typically bottom branches are trimmed to expose the trunk(s) and give the tree an umbrella form. Acacia aneura is unusual in that it has an open flowering cycle. The trees produce small, sulphur yellow, rod shaped flower about 3/4"" long. Tan pods (1"" to 1 1/2"") mature from these flowers and are ultimately dropped. Once this flowering cycle is complete another one begins. Trees may produce 3 to 4 flower cycles per year with the heaviest flowering usually occurring in the spring or following summer rains. The bright yellow flowers in combination with the silver-gray leaves make Acacia aneura a striking accent tree in the landscape.",Yellow,"Tap, Long Rhizome",Spring - Summer,Summer - Fall,Fine,Umbrella,Slow,Minor,Minor,Full_Sun,8 -- 11,"Moderate, Dry",7.0 - 9.0,"Domestic Animal Forage, Erosion Control, Hedge, Insectory, Insectory, Nitrogen Fixer, Wildlife Food, Wildlife Food","Biomass, Food, Oil, Wax, Resin or Polish, Oil, Wax, Resin or Polish, Ornamental, Wood, Wood"
2916,Silver Wattle Acacia (Sydney Black Wattle),Acacia dealbata,ACDE,Evergreen Tree,85,25,48,All Year,"A large bushy shrub or spreading tree usually growing 1.5-10 m tall, but occasionally reaching up to 30 m in height. In its native range, A. dealbata grows in montane forests, along watercourses and in dry sclerophyllous forests and is a shrub in dry conditions. It occurs within forests and woodlands on a variety of soil types in cool to warm sub-humid climatic zones. Life span short for tree, long for acacias (20+ years). Acacia dealbata is grown in southern Europe where it is known as 'mimosa'. Seeds are shed and remain viable in the ground for many years. A. dealbata is often a dominant shrub in eucalypt forests and is a small tree in clearings or on disturbed sites where it regenerates vigorously. Propagate from seed that should be soaked in boiling water before sowing.",Yellow,"Fibrous Deep, Long Rhizome",Early Spring - Early Fall,Fall - Winter,Fine,Oval,Fast,Minor,Minor,Full_Sun,8 -- 10,"Moderate, Dry",4.5 - 7.5,"Domestic Animal Forage, Erosion Control, Insectory, Nitrogen Fixer, Reclamator, Wildlife Food, Windbreak, Windbreak","Aromatics/Fragrance, Biomass, Coppice, Cut Flower, Dye, Fiber, Fiber, Food, Food, Oil, Wax, Resin or Polish, Ornamental, Ornamental, Wood"
8117,Acerola (West Indian cherry),Malpighia emarginata,MAEM,Evergreen Tree,20,12,24,All Year,"The tree produces bright red drupes after three years that are 1 to 3 cm in diameter with a mass of approximately 3 to 5 grams. The drupes are in groups of three or pairs. The fruits are round or oblate and cherry-like with 3 lobes. They are bright red or sometimes yellow-orange in color with a thin skin that is easily bruised. The pulp is very juicy and acidic to sub-acidic in nature. It is nearly sweet and has a delicate flavor. Yields for up to 40 productive years, but a decline in productivity after 15-20 years is common. This plant often blooms in response to rain. It may flower for several months with regular irrigation. 3 to 5 years until bearing fruits. Its shallow, short roots allow this plant to be easily uprooted in strong winds. It is subject to root rot in poorly draining soil. It should be staked to prevent being toppled by strong winds.","Pink, Red",Short Rhizome,Spring - Summer,Summer - Fall,Coarse,Rounded,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10 -- 13,Moderate,5.0 - 8.0,"Insectory, Wildlife Food, Wildlife Habitat","Container Garden, Food, Food, Medicine, Medicine, Ornamental"
7972,Akee,Blighia sapida,BLSA,Evergreen Tree,50,50,36,All Year,"Akee trees are grown from seeds or by shield-budding, and show very little variation. In European greenhouses, cuttings of ripe shoots are rooted in sand and raised in a mixture of peat and loam. In warm climates, the tree grows fast and requires little cultural attention. Each fruit is a three-chambered capsule. When ripe, each chamber splits to reveal three shiny seeds, each seed having a white fleshy aril at the base. These fleshy arils are the edible parts of the fruit, but are only edible at certain times of the year, namely, when the fruit is fresh, ripe and just opened. Arils are poisonous when unripe or when overly ripe (as when open and dropped to the ground). Fruiting may occur throughout the year, but mostly occurs from December through May. This tree is widely cultivated and naturalized in the tropics and subtropics.",White,"Fibrous Deep, Long Rhizome",Spring - Winter,Spring - Winter,,Spreading,Fast,Minor,Minor,Full_Sun,10 -- 12,Moderate,5.5 - 8.0,"Erosion Control, Insectory, Soil Builder, Wildlife Food","Aromatics/Fragrance, Dye, Food, Food, Medicine, Medicine, Oil, Wax, Resin or Polish, Ornamental, Soap, Wood, Wood"
7524,Flat Crown Albizia (Umgadankawu),Albizia adianthifolia var. adianthifolia,ALAD,Evergreen Tree,65,45,18,Spring-Summer,"RANGE: SA Distribution: Eastern Cape, KwaZulu-Natal, Limpopo, Mpumalanga. - ELEVATION: Up to 6,562 feet. - HABITAT: Albizia adianthifolia has a conspicuous flat crown, which makes it unmistakable in the coastal and low-altitude forest, forest margins, open forest and ravines where it occurs in South Africa; moist and tropical areas such as forests as well as areas that are transitional to woodland. Prevalent in the more moist areas of eastern parts of South Africa & northern Limpopo. In South Africa the tree flowers in spring during the months of September-November. PROPGATION: Seeds and seedlings. Fast-growing when young. Experiments in Ghana showed that Albizia adianthifolia can be successfully propagated vegetatively by root cuttings. Tolerant of periodic flooding.","Cream, Green, White",Tap,Early Spring - Early Summer,Summer - Fall,Medium,Umbrella,Fast,Minor,Minor,Full_Sun,9 -- 11,Moderate,7.0 - 7.9,"Erosion Control, Insectory, Nitrogen Fixer, Nurse, Reclamator, Soil Builder, Wildlife Food, Wildlife Habitat, Wildlife Habitat","Biomass, Coppice, Food, Medicine, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood, Wood"
5153,Alerce (Patagonian Cypress),Fitzroya cupressoides,FICU,Evergreen Tree,145,10,60,All Year,"In Argentina, alerce grows on mountain slopes and lake shores, at elevations of 300 to 900 meters. The biggest officially recorded specimen in Argentina is 57 meters high, 2.20 meters dbh, and 2600 years old Summer average temperatures are 13-16°C. Winter average temperatures vary from 2-4°C. The area receives 2000-4000 mm. of annual precipitation. In Chile, temperatures can be a bit higher at lower elevations, and rainfall is as high as 6000 mm. Curiously, although the tree grows in virtual rainforest, it is dependent on catastrophic fire in order to regenerate stands; the current widespread decline observed among remnant populations may be due in good measure to fire suppression.Typically on poorly drained and often nutrient-poor soils derived from volcanic ash, sandy, humus-rich and acidic at low and medium elevations. Although in its wild state it can attain great size, in cultivation it has so far made only medium-sized trees of 10–21 m height with a dbh of up to 0.94 m. It is most commonly multi-stemmed from a young age, especially when propagated by cuttings, but some seed-raised plants are forming single-stemmed trees. Older trees in cultivation have irregular crowns and c","Brown, Green","Fibrous Shallow, Rhizome",Early Summer - Late Summer,Fall,Fine,Columnar,Slow,Minor,Minor,"Full_Sun, Partial_Shade",7 -- 9,Moderate,4.5 - 6.0,"Reclamator, Reclamator","Biomass, Biomass, Fiber, Fiber, Ornamental, Ornamental, Wood, Wood"
3038,Allspice,Pimenta dioica,PIDI,Evergreen Tree,40,25,0,All Year,"Can take 20 years until full harvest. Harvest every third year. Economic life of 50 years, as much as 100 in some cases. Berries and leaves not usually harvested from the same tree. Requires well-drained soils. Functionally dioecious.",Cream,Fibrous Deep,Early Spring - Summer,Spring - Summer,Coarse,Upright,Slow,Minor,Minor,Full_Sun,10 -- 12,Moderate,7.0 - 7.5,Insecticide,"Aromatics/Fragrance, Essential Oil, Food, Medicine, Ornamental"
7776,Tropical Almond (False Kamani),Terminalia catappa,TECA,Evergreen Tree,90,70,24,All Year,"Winter hardy to USDA Zones 10-11 where it is best grown in acidic, moderately fertile, sandy, moist but well-drained soils in full sun. Tolerates a wide range of soils and is salt tolerant. Established trees have good drought tolerance. Trees dislike temperatures below 55 degrees F. Trees have some invasive potential in maritime areas where the nuts from trees growing along ocean coasts and beaches may be spread by ocean currents (the nuts float) to other locations (tree has naturalized in the Florida Keys). Trees can yield two crops a year in some areas, and in places have been known to exhibit more or less continuous fruiting. A tree may yield around 5 kg of kernels per year. The tree sheds its leaves all at once, quite suddenly, usually twice a year (January or February and July or August). Unlike most tropical trees, the leaves turn first yellow, then vivid red before falling, giving a well-marked autumn color. Terminalia catappa is a fast-growing deciduous or semi-evergreen tree, usually growing about 15 metres tall with specimens up to 40 metres recorded. The canopy has a pagoda-like habit when young, but this becomes less noticeable as the tree ages and the branches elongat","Green, White","Fibrous Shallow, Long Rhizome",Early Spring - Late Winter,Spring - Winter,Coarse,Spreading,Fast,Minor,Minor,Full_Sun,11 -- 12,"Moderate, Dry",7.0 - 8.5,"Erosion Control, Wildlife Habitat","Aromatics/Fragrance, Dye, Dye, Dye, Dye, Food, Food, Medicine, Oil, Wax, Resin or Polish, Ornamental, Ornamental, Wood"
7527,Bitter Aloe,Aloe ferox,ALFE,Evergreen Tree,10,5,0,Winter,"Has thick, fleshy leaves with spines along the leaf margins.","Orange, Red, White, Yellow","Fibrous Shallow, Fibrous Shallow",Fall - Winter,,Medium,Rosette,Slow,Major,Major,Full_Sun,9 -- 11,Dry,6.0 - 7.5,Wildlife Food,"Food, Insect Repellent, Medicine, Ornamental"
4436,Malay Apple (Wax Jambu),Syzygium malaccense,SYMA,Evergreen Tree,81,32,48,All Year,"Malay apple is an evergreen tree with a spreading but cone-shaped crown; it usually grows 5 - 20 metres tall, though specimens to 30 metres have been recorded from New Guinea. The straight, cylindrical bole can be 20 - 45cm in diameter (to 130cm in New Guinea), often branching from near the ground though sometimes free of branches for 10 - 15 metres, with buttresses at the base. S. malaccense is restricted to tropical regions with an annual rainfall of about 1500 mm or more, preferring year-round rain but tolerant of seasonal rain so long as there is no extended dry period. The species is often planted along streams or ponds, as it requires a reliable water supply. The species reproduces readily by seed, but seeds quickly lose their viability; they are fleshy and cannot be stored or dried, so are best sown when fresh or within 2-3 weeks. The species is triggered into bloom by wet weather following a dry period and can have several crops per year, as its fruits ripen about 60 days after bloom. S. malaccense reportedly grows well with other species, especially in home gardens and small plots with other cultivated species such as breadfruit and banana trees. Plants take from 4 - 5 yea","Purple, Red, White",Fibrous Deep,Early Spring - Late Winter,Spring - Winter,Coarse,Pyramidal,Moderate,Medium,Minor,"Full_Sun, Partial_Shade",11 -- 13,Moderate,6.1 - 8.0,"Domestic Animal Forage, Insectory, Wildlife Food, Windbreak","Dye, Food, Food, Food, Medicine, Medicine, Ornamental, Ornamental, Wood, Wood, Wood"
