Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
5358,Netted Chain Fern (European Chainfern),Woodwardia radicans,WORA,Fern,72,36,2,All Year,"Woodwardia radicans is a Evergreen Fern up to 6.0 feet tall. RANGE: South-western Europe & the Atlantic Islands. HABITAT: Habitat Woodland margins, often by stream, sparsely vegetated land, wetlands, woodland, & forest. Most preferred habitats sparsely vegetated landwetlandswoodland and forest. May also occur in heathland and shrub. The name chain fern refers to the arrangement of the sori. These are located close to the midrib of the frond lobes and are formed of elongated segments resembling a chain of sausages. PROPAGATION: Spores, Plantlets, Division in spring. Propagules adapted to wind and water dispersal. Resistant to Honey Fungus. This large imposing evergreen fern needs space to grow and rich humus woodland soil in shade. On mature plants bulbils form towards the end of the fronds - where these touch the ground they produce new plants. Slow to propagate.",,"Rhizome, Fibrous Shallow",,,Fine,Arching,Fast,Medium,Minor,"Partial_Shade, Shade",9 -- 11,"Wet, Moderate",5.6 - 7.3,"Groundcover, Insectory, Wildlife Habitat","Container Garden, Fiber, Medicine, Ornamental, Ornamental"
2178,Christmas Fern,Polystichum acrostichoides,POAC,Fern,36,24,0,All Year,"Also known as the dagger fern. Leathery, lance-shaped fronds that remain evergreen through winter then brown in spring; clumps grow over time and don't spread",,Rhizome,,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",4 -- 9,"Moderate, Dry",6.5 - 7.5,"Erosion Control, Wildlife Food, Wildlife Habitat","Cut Flower, Medicine, Ornamental"
3212,"Fern, Australian Sword (Kimberley Queen)",Nephrolepis obliterata,NEOB,Fern,36,48,0,All Year,Best in high humidity and well-draining/nutrient-rich soil. Best growth in bright indirect light.,,"Rhizome, Stolon",,,Fine,Upright,Fast,Minor,Minor,"Partial_Shade, Shade",9 -- 11,Moderate,6.1 - 7.5,Air Cleaner,"Container Garden, Hanging Basket, Ornamental"
2852,Bird's Nest Fern,Asplenium nidus,ASNI,Fern,48,48,1,All Year,"Asplenium nidus is a herbaceous perennial epiphytic species known as the Bird's nest fern that roots itself to trees in it's natural habitat and warmer climates. Native to east tropical Africa (in Tanzania, inclusive of the Zanzibar Archipelago); temperate & tropical Asia (in Indonesia; East Timor; the island of Kyushu, & the Ryukyu Islands of Japan; Malaysia; the Philippines; Taiwan; & Thailand); & in Australasia (in the northern part of Queensland in Australia).They get their name because of their very unfernlike fronds—they’re simple and tongue-shaped rather than deeply cut like most fern fronds—and because they form an open, cuplike rosette much like a bird’s nest. Similar species: A. antiquum and A. australasicum. ELEVATION: To 2,500 feet.. PROPAGATION: By spores or from tissue culture. HABITAT: Bird’s-nest ferns are essentially epiphytes (plants that grow on tree trunks & branches), although they’re also found on rock faces and sometimes fall to the ground & continue growing as terrestrial plants. There are no flowers, since ferns are “primitive plants” & never bloom.",,Fibrous Shallow,,,Coarse,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",9 -- 11,Wet,5.0 - 7.0,"Wildlife Habitat, Wildlife Habitat",", Medicine, Ornamental, Ornamental, Ornamental"
351,"Bracken Fern (Hog Brake, Pasture Brake)",Pteridium aquilinum,PTAQ,Fern,60,18,10,Summer,"P. aquilinum is a polycarpic geophyte; a perennial fern which reproduces by spores and widely creeping, branching underground stems, sometimes forming colonies. The fronds arise directly from a deep underground rhizome that is much subdivided. Pteridium aquilinum is possibly the most widespread species of plant in the world, it can be found on every continent, even Antarctica, from the temperate to the tropical zones, though especially in the temperate regions[Common fern in Minnesota. Cattle, horses, and sheep are poisoned by eating this plant green or dry. Leaves are densely pubescent underneath. Leaves are large, coarse and highly divided. Very young leaves can be used in cooking. The roots bear vesicular-arbuscular mycorrhiza.",,Long Rhizome,,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 9,Moderate,4.5 - 7.0,"Insectory, Mulch Maker, Nurse, Soil Builder","Biomass, Compost, Dye, Fiber, Fiber, Fiber, Fiber, Food, Food, Insect Repellent, Medicine, Medicine, Oil, Wax, Resin or Polish, Soap, Soap"
352,Bulbet Fern (Bulblet Fragile Fern),Cystopteris bulbifera,CYBU,Fern,24,30,3,Spring-Fall,"Bulblet Fern is common in moist forested areas of Minnesota, in the cracks and crevices of cliffs, on rocky slopes, moss-covered boulders, shaded banks, swamps and rock outcrops, often on calcareous substrates. It is probably the easiest of the Cystopteris species to identify: fronds widest at the base and most with a long taper to a slender tip (especially later in the season), veins terminate in the notches between lobes/teeth, pinnae undersides with scattered bulblets and variously covered in glandular hairs, more densely so near the tip of the frond. The bright red to maroon stems of young plants are also quite distinctive. This medium-small fern is unique because of the bulblets that form on the underside of its leaves. Aside from this unusual method of asexual reproduction, the Bulblet Fern is similar in appearance to other Cystopteris spp. (Bladder Ferns) and their hybrids. The bulblets will drop from the leaves and grow and produce new plants under favorable conditions. The leaves grow from a rhizome growing at or below the ground. The long leaves make this a favorite in rock gardens. Grows most commonly on damp, shady, calcareous rocks.",,"Short Rhizome, Fibrous Shallow",,Summer - Fall,Fine,Clump,Fast,Minor,Minor,"Partial_Shade, Shade",2 -- 6,Moderate,5.5 - 7.5,Groundcover,"Food, Ornamental"
353,Cinnamon Fern,Osmunda cinnamomea,OSCI,Fern,72,48,12,Spring,"Cinnamon fern is a native fern which occurs in the moist, boggy ground along streams and on shaded ledges and bluffs. It typically grows in clumps to 2-3' tall, but with constant moisture can reach 6' in height. Separate spore-bearing, stiff, fertile fronds appear in early spring, quickly turning brown. The familiar ""fiddleheads"" also emerge from the base of the plant and unfurl into large, erect, pinnately-compound, yellowish-green, sterile fronds (2-4' long) which remain attractive throughout the summer and turn yellow in autumn. The common name of this plant is in reference to the cinnamon-colored fibers found near the frond bases. It is easily grown in medium to wet soils in part shade to full shade. Prefers moist, rich, humusy, acidic soils, but adapts to lesser conditions. The root system consists of a crown of fibrous roots, from which spreading rhizomes are occasionally produced. This plant has compact, horizontal rhizome, its growth is vigorous. It may go dormant with dry soil. Both sterile and fertile cinnamon fern fronds expand during a short period in early spring. Leaf expansion is complete within about a month. Fertile fronds begin to wither in early summer, after",,"Fibrous Shallow, Short Rhizome",,,Medium,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",4 -- 9,"Wet, Moderate",4.5 - 7.0,"Domestic Animal Forage, Groundcover, Insectory, Toxin Absorber, Wildlife Food, Wildlife Habitat","Fiber, Food, Medicine, Ornamental"
361,Common Oak Fern (Northern Oak Fern),Gymnocarpium dryopteris,GYDR,Fern,10,12,12,Spring-Fall,"The broadly triangular leaves are divided into 3 aproximately equal primary divisions, each turned to a heavily horizontal position. Sprawling, it often shows slightly twisted leaves and leaflets. A fern of forest understory and shale talus slopes that sports much divided, trangular fronds in a translucent light green. Well-behaved colonizer that disappears on its own in the fall and faithfully reappears each spring. Requires cool, moist, acidic soil. Good ground cover.",,Long Rhizome,,,Fine,Single Stem,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 6,Moderate,4.5 - 6.4,"Groundcover, Wildlife Food, Wildlife Food, Wildlife Habitat","Insect Repellent, Ornamental"
354,Crested Wood Fern (Narrow Swamp Fern),Dryopteris cristata,DRCR,Fern,24,72,12,Summer,"Grows predominantly where soil is rich and moisture is abundant. Rarely it may grow in sandy soil or on a sandstone ledge. Infertile fronds are evergreen, fertile fronds are deciduous. Dislikes heavy clay soils. Easy to grow; short, creeping rhizome; often found in marshes, bogs, and swamps but will grow in moist, rich soil; sun or shade.",,Long Rhizome,,,Medium,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",2 -- 6,"Wet, Moderate",3.5 - 6.5,"Groundcover, Insectory","Medicine, Ornamental"
8746,Crow's Nest Fern (Australian Bird's Nest Fern),Asplenium australasicum,ASAU,Fern,32,8,1,All Year,"The Asplenium australasicum (Crow's Nest Fern) is a herbaceous perennial evergreen epiphytic species known as the Bird's nest fern that roots itself to trees in it's natural habitat & warmer climates. Can also grow as a shrubby plant. Native to East Africa, Tropical Asia, Australia and Polynesia; Wet forests & rainforests of south & central coasts of New South Wales & coastal Queensland to Cape York. They get their name because of their very un-fern-like fronds (they are simple & tongue-shaped rather than deeply cut like most fern fronds) & because they form an open, cuplike rosette much like a bird’s nest. Similar species: A. antiquum & A. nidus. ELEVATION: 3,281-4,921 feet. PROPAGATION: By spores or from tissue culture. HABITAT: Essentially epiphytes (plants that grow on tree trunks & branches), they’re also found on rock faces & sometimes fall to the ground & continue growing as terrestrial plants. There are no flowers, since ferns are “primitive plants” & never bloom. The colonial botanist William Woolls wrote ""... as a caution to fern gatherers, sometimes a species of black snake coils itself up in the center"" (of the birds nest fern). Also grows as shrubby plant.",,Fibrous Shallow,,,Coarse,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",8 -- 12,"Wet, Moderate",5.0 - 7.3,"Air Cleaner, Nitrogen Fixer, Wildlife Food, Wildlife Habitat","Container Garden, Food, Medicine, Medicine, Medicine, Medicine, Ornamental"
