Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
1950,Weeping Alkali Grass,Puccinellia distans,PUDI,Grass,16,0,,,"High salt tolerance. Slow growing. Alkaline soils, mow 1-3"" height.",,Fibrous Shallow,,,Fine,Clump,Fast,Minor,Minor,Full_Sun,2 -- 7,"Wet, Moderate, Dry",7.0 - 8.0,"Erosion Control, Soil Builder, Soil Cultivator",
2963,Albostriata Bamboo,Bambusa textilis 'Albostriata',BATE,Grass,40,20,12,Spring-Summer,Albostriata has similar growth patterns to Graceful bamboo but Albo or Albostriata has the additional beauty of random vertical white pin stripes on the culms. Reaching heights to 25 ft with 1 inch culms makes this non invasive clumping variety the perfect bamboo.,Lavender,"Rhizome, Corm",Summer - Late Summer,Fall,Fine,Clump,Slow,Minor,Minor,"Full_Sun, Partial_Shade",9 -- 11,"Wet, Moderate",0.0 - 0.0,"Air Cleaner, Erosion Control, Mulch Maker, Soil Builder","Biomass, Food, Wood"
2978,Angel Mist Bamboo,Dendrocalamus minor ‘Amoenus',DEMI,Grass,40,20,0,All Year,,"Green, White, Yellow",Rhizome,,,Medium,Upright,Fast,,,"Full_Sun, Partial_Shade",9 -- 11,Wet,0.0 - 0.0,"Air Cleaner, Erosion Control, Mulch Maker, Soil Builder","Biomass, Food, Wood"
7989,Arrow Bamboo (Metake),Pseudosasa japonica,PSJA,Grass,12,25,12,All Year,"Pseudosasa japonica, commonly known as arrow bamboo, green onion bamboo or metake, is a vigorous evergreen, running-type bamboo that forms a thicket of woody, hollow, upright culms (often called canes) to 12-16’ tall clad with dense, glossy, coarse, lanceolate, dark green leaves (to 5-13” long by 1 3/4’ wide) which taper to pointed tips. It is native to Japan and Korea, but has escaped planting areas and naturalized in a number of locations in the U.S. from New York and Connecticut south to Tennessee and South Carolina plus Florida and California. Though Arrow Bamboo is considered a ""running bamboo,"" it's one that spreads very slowly and is very easy to control, so much so that we call it a semi-clumper. Arrow Bamboo can be controlled in a small area (a normal city yard) simply by mowing or stepping on the young shoots. Keep in mind that running bamboo only puts up new shoots for a short time each year and, when they are ""shooting,"" the new plants are very fragile and easy to destroy. Root pruning or installing Bamboo Root Barrier are other methods to control spread. Spikelets of 2-8 non-showy green flowers in lax panicles rarely appear. Rarely flowers. Can flower continuously for","Green, Yellow","Rhizome, Long Rhizome",,,Fine,Spreading,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",6 -- 9,Moderate,5.5 - 7.3,"Erosion Control, Hedge, Windbreak","Container Garden, Ornamental, Ornamental, Ornamental, Wood, Wood"
2955,Barbie Bamboo (Tropical Blue Bamboo),Bambusa chungii 'Barbelatta',BACH,Grass,30,10,12,All Year,"Clumping bamboo. Can grow in a variety of soils, best in those with good drainage. Roots extend horizontally. This species is quick to form new shoots. Chungii is an amazing landscape bamboo with blueish canes covered in white powder. This one can be used as a great single specimen plant or planted in a row to form a handsome privacy screen. Chungii is a fast grower and will reach its maximum height in just a couple of years under ideal conditions. This is a highly sought after and very easy plant to grow and keep beautiful in the landscape. Chungii is notoriously expensive because it is difficult and labor intensive to propagate.",,"Fibrous Shallow, Short Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",9 -- 11,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge","Fiber, Fiber, Medicine, Ornamental"
2998,Beautiful Bamboo,Phyllostachys mannii 'Decora',PHMA,Grass,35,45,12,All Year,"Runner bamboo. Shoots in spring. Can grow in a variety of soils, but best in those with good drainage. Roots extend horizontally.",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",6 -- 10,Moderate,5.5 - 7.0,"Air Cleaner, Erosion Control, Hedge, Mulch Maker, Soil Builder","Container Garden, Fiber, Food, Ornamental, Wood"
2953,Beechey Bamboo (Silk-Ball Bamboo),Bambusa beecheyana,BABE,Grass,50,40,12,All Year,"Loose-clumping bamboo. Particularly fast growing. Short internodes. Some may have potex virus. Can grow in a variety of soils, best in those with good drainage. New shoots in summer and fall.",,"Rhizome, Rhizome",Early Summer - Summer,Fall,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",9 -- 11,"Wet, Moderate",5.5 - 7.0,"Hedge, Mulch Maker, Wildlife Habitat","Fiber, Food, Ornamental, Wood"
2997,Bisset's Bamboo,Phyllostachys bissetii,PHBI,Grass,30,15,12,All Year,"Runner bamboo. One of the earliest Phyllostachys to shoot in the spring. Flowers in many-year intervals. Can grow in a variety of soils, best in those with good drainage. Roots extend horizontally.",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,Full_Sun,5 -- 10,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Container Garden, Fiber, Food, Ornamental, Wood"
2974,Black Asper Bamboo,Dendrocalamus asper 'Betung Hitam',DEAS,Grass,100,50,0,All Year,"Clumping bamboo. Largest known black bamboo, rare. Hairy culms. Bamboos can grow in a variety of soils, but do best in those with good drainage. Roots extend horizontally.",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",10 -- 11,"Wet, Moderate",6.1 - 7.5,"Erosion Control, Mulch Maker, Soil Builder, Wildlife Habitat","Food, Ornamental, Wood"
3010,Borealis Bamboo,Sasamorpha borealis,SABO,Grass,6,3,10,All Year,Runner bamboo. More cold hardy than most bamboo. Best in a rich loam soil. Resistant to honey fungus. Flowers in several year intervals. Roots extend horizontally.,,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Partial_Shade, Shade",6 -- 9,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Fiber, Food, Ornamental, Wood"
