Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
5398,American Agave (Century Plant),Agave americana,AGAM,Perennial,72,120,30,All Year,"Best in gritty well-drained soils. Tolerant of shallow low-nutrient soils. Propagated by seeds and offsets. Blooms only once and then sets seeds and dies. Monocarpic (blooms only once then dies). Bloom spike can reach 12-25ft (4-7.5m). A. americana is a CAM species with characteristic nocturnal stomatal opening and tissue succulence. These traits that have allow this species to colonize water-stressed habitats such as deserts and dry grasslands. The plant typically lives between 10 and 30 years. Small infestations of A. americana can be controlled by digging out small plants manually. Large plants can be moved by machinery. Care should be taken to dig out the taproot to prevent spread by suckering, and all pieces need to be disposed of properly. Agave americana plants are monocarpic, meaning that a plant lives for many years before flowering and then dies once it has flowered. Plants are slow-growing and take between 10 and 25 years to flower, depending on climatic conditions. Plants, therefore, do not take 100 years before flowering, as one of the common names suggests. Plants produce basal offsets that will eventually replace the plant that flower. These offsets are easy to grow","Green, Yellow","Tap, Rhizome",Late Spring - Early Summer,,Coarse,Rosette,Slow,Medium,Medium,Full_Sun,8 -- 10,"Moderate, Dry",5.6 - 6.5,"Domestic Animal Forage, Erosion Control, Hedge, Hedge, Insecticide, Insectory, Insectory, Reclamator, Wildlife Food, Wildlife Food, Wildlife Food, Wildlife Habitat","Container Garden, Container Garden, Fiber, Fiber, Food, Medicine, Ornamental, Ornamental, Soap, Wood"
5399,Century Plant,Agave parryi,AGPA,Perennial,24,36,24,All Year,"Also known as Parry's agave or mescal agave. Rosette-forming perennial succulent with blue-gray to gray-green evergreen leaves. Flowers once and then dies, but the 12-20' flowering spike has been called spectacular. Relatively short lifespan of 15-30 years despite the name. Once established it will produce suckers, sometimes popping up 1m away but easily removed. In fact,obtaining such a young plant from a tried and tested parent is the surest way of finding a good, hardy clone from such a variable group. Some will survive -15°c or lower.",Yellow,"Long Rhizome, Short Rhizome",,,Coarse,Rosette,Slow,Minor,Minor,Full_Sun,7 -- 10,"Moderate, Dry",6.1 - 7.8,"Groundcover, Insectory, Wildlife Food, Wildlife Food","Container Garden, Fiber, Fiber, Food, Food, Food, Medicine, Ornamental, Soap"
6998,Rough Agave,Agave asperrima,AGAS,Perennial,60,60,18,All Year,"Agave scabra is a medium- to large-sized plant. Its gray leaves are very spiny and have a characteristic roughness that lends it its common name. It grows on sandy and calcareous soils. As it matures it develops many ""pups"" or offsets which will replace the main rosette, which dies after blooming with a 13-20' tall flower spike. Agave plants are a regular smorgasbord of food, though all parts of the plant except for the sap must be cooked in some manner to make them sweet and destroy their bitter-tasting saponins. Unlike most wild edible plants, when harvesting agave you want to find the biggest, oldest plants as these will have the most sugar. Traditionally the flowers and leaves were boiled or roasted. After removing the leaves the body & root should be slow roasted, often for two days, to release its sugars. The sweet flesh is chewed off the fibrous body/root. Flower stalks are also roasted, but for shorter time as they are smaller. Note that removing the flower stalk will kill the plant. After roasting the food can be dried and stored for later use. If the top of the agave plant is removed but the root left in the ground sap will flow up for hours. Collect and ferment this sap",Yellow,"Fibrous Shallow, Long Rhizome",,,Coarse,Clump,Slow,Minor,Minor,Full_Sun,7 -- 11,"Moderate, Dry",6.0 - 8.0,"Domestic Animal Forage, Erosion Control, Insectory, Wildlife Food, Wildlife Food","Fiber, Food, Medicine, Ornamental"
5400,Utah Agave,Agave utahensis,AGUT,Perennial,18,18,6,All Year,"Tolerant of low-fertility soils. Most north-growing Agave. Monocarpic (blooms only once then dies). Flower stalk grows 5-15ft (1.5-4.5m) tall. This species is split into different subspecies; subps. kalibabensis has larger rosettes, eborispina is smaller with pronounced white teeth, and nevadensis is smaller with leaves that point our somewhat horizontally from the center. The subspecies vary slightly in their geographic range.",Yellow,Rhizome,Late Spring - Late Summer,,Coarse,Rosette,Slow,Minor,Minor,Full_Sun,6 -- 11,"Moderate, Dry",7.0 - 8.0,Insectory,"Fiber, Food, Medicine, Soap"
3145,Aloe,Aloe vera,ALVE,Perennial,24,12,3,All Year,Grow in well-draining soils. Bright light required for flowering. Stoloniferous.,Yellow,Long Rhizome,Summer - Late Summer,,Coarse,Rosette,Slow,Minor,Minor,"Full_Sun, Partial_Shade",10 -- 12,Dry,6.0 - 7.5,"Air Cleaner, Wildlife Food, Windbreak","Cleanser/Scourer, Container Garden, Food, Medicine, Ornamental, Soap"
1821,Rue Anemone (Meadowrue),Anemonella thalictroides,ANTH,Perennial,8,8,6,Spring,"Rue Anemone is a delicate-looking early spring plant that blooms in various shades of pink. It begins to come up through brown leaves from the previous fall. The ""petals"" are actually sepals so they continue to bloom for a longer period of time. The root system produces very small tubers. Seeds require a cold moist period. These low-growers have tiny, delicate stems that produce numerous white or pink flowers. While considered by many to be ephemeral, this species will sometimes persist in leaf until very late in the season, and may rebloom sporadically. The root system consists of fibrous roots; the upper roots near the base of a plant are somewhat fleshy and swollen. This wildflower spreads by reseeding itself. Rue Anemone is best planted under deciduous trees. It prefers dappled sunlight during the spring, but tolerates considerable shade later in the year. Moisture levels should be mesic to slightly dry, and the soil should contain loose loam and rotting organic material. Most growth and develop occurs during the spring; it is not aggressive.","Pink, White","Tuber, Fibrous Shallow",Spring - Early Summer,Summer - Fall,Fine,Spreading,Slow,Minor,Minor,"Partial_Shade, Shade",4 -- 8,Moderate,4.6 - 6.0,Insectory,"Medicine, Ornamental"
5526,Arnica,Arnica montana,ARMO,Perennial,24,8,8,Summer,"Cultivation of A. montana subsp. montana is possible, but not without problems. The species need a loose, well-aerated soil with an ample supply of water and a lime content of less than 1%. Otherwise, the plant reacts immediately with chlorosis. ""Arnica plants are very sensitive to crown rot and fungal diseases, the most serious of which are Phytophthora and Phoma. During the growing season, individual or patches of plants can collapse and die suddenly when conditions are unfavourable, particularly under hot wet or hot dry conditions. ""The plants can produce some flowers in the autumn of the first season but the main production would be expected to start in the spring of year two."" No information on herbicide efficacy or chemical control of this species.","Orange, Yellow","Rhizome, Short Rhizome",Spring - Early Summer,,Medium,Rosette,Slow,Medium,Major,"Full_Sun, Partial_Shade",4 -- 9,"Moderate, Dry",5.8 - 7.6,"Domestic Animal Forage, Insectory, Insectory, Soil Builder","Food, Medicine, Medicine, Ornamental, Soap"
6324,Bath Asparagus (Spiked Star of Bethlehem),Ornithogalum pyrenaicum,ORPY,Perennial,24,5,6,Spring-Summer,"Ornithogalum pyrenaicum is a Woodland perennial Bulb. RANGE: S. Europe. Naturalized in Britain. Bath, parts of Somerset, Wiltshire & Gloucestershire with a satellite population in Bedfordshire. - HABITAT: Woods, hedgerows, road verges & rough grassy banks usually on clayey soils overlaying limestones or gravels. Woods & scrub. Dry stony places. - POLLINATION: Insects. - An easily grown plant, succeeding in ordinary garden soil. Thrives in sun or shade. Succeeds in dry soils &, once established, is drought tolerant. Grows well in the wild. PROPAGATION: Seeds. Division of offsets in September/early autumn. Bath Asparagus, also known as Spiked Star of Bethlehem. A handsome plant with narrow, glaucous leaves and a flower spike that can reach up to 2ft high & contain as many as fifty flowers. Each flower is slightly less than an inch across & is star-shaped with six, green striped, greenish-white petals. ELEVATION: 0-591 feet. Although there do not appear to be any reports of pollen from postglacial deposits, the plant is generally regarded as native since the last Ice Age.",White,Bulb,Early Summer - Late Summer,Summer - Fall,Medium,Clump,Slow,Minor,Medium,"Full_Sun, Partial_Shade, Shade",5 -- 10,"Moderate, Dry",5.6 - 8.4,"Domestic Animal Forage, Insectory","Container Garden, Food, Food"
5566,Fern Asparagus,Asparagus filicinus,ASFI,Perennial,28,24,6,All Year,"Asparagus filicinus is a perennial plant producing erect stems from a rhizomatous rootstock. RANGE: E. Asia - China, India, Nepal, Myanmar, Thailand, Vietnam. - HABITAT: Loose humus rich soils in forests. Forests, thickets, shady and moist places along valleys. - ELEVATIONS: 5,577 - 8,858 feet in the Himalayas and 3,937- 9,843 feet in western China. - Asparagus filicinus is a plant mainly of the warm temperate to subtropical zones, entering into the tropics in Vietnam, Myanmar &Thailand. Plants are hardy to between -10 and -15°c. POLLINATION: Bees. - PROPAGATION: Seeds and Division as the plant comes into growth. - Dioecious species, both male & female forms need to be grown if fruit & seed are required. Prefers a rich light well-drained sandy loam in a sunny position. Moist soils to dry. Too much water around these plants brings swarms of mosquitoes which are detrimental to them. If started from seed in any good garden soil, asparagus will take about 3 years to become productive. One-year-old asparagus crowns will need two years of growth prior to harvesting and two-year-old crowns, just one year. After they're established, however, asparagus can be productive for decades.",White,"Tuber, Short Rhizome",Early Summer - Late Summer,Summer - Fall,Fine,Climbing,Slow,Minor,Minor,"Full_Sun, Partial_Shade",6 -- 10,"Moderate, Dry",5.1 - 8.1,Insectory,"Food, Medicine, Medicine, Ornamental"
8143,Douglas Aster,Symphyotrichum subspicatum,SYSU,Perennial,48,48,0,Summer-Fall,"typically a coastal species found in moist lowland habitats such as streambanks, seashores, salt and fresh marshes, ditches, meadows, clearings at low elevations. This is a large, rambunctious perennial that is not good with delicate neighbors. Douglas Aster belongs in the wild where it can consort with other similarly overly adapted natives. Virtually any soil in full sun to light shade. In bloom it rises to nearly 30″ and the spread is nearly indefinite This is a rugged perennial for tough sites, even areas submerged during the wet season. Not a bad cut flower. Mix with large ornamental grasses such as Miscanthus sinensis ‘Morning Light’ or Panicum virgatum ‘ Heavy Metal’. Mix with native shrubs- Mahonia aquifolium, Oregon Grape and Holodiscus discolor ‘Ocean Spray’. Drought adapted when established but it appreciates a soak now and again to prolong the bloom period.","Blue, Purple","Rhizome, Long Rhizome",Summer - Early Fall,Fall,Medium,Upright,Slow,Minor,Minor,"Full_Sun, Partial_Shade",4 -- 9,"Wet, Moderate",5.1 - 6.5,"Groundcover, Insectory, Insectory",Ornamental
