Id,Name,Scientific name,Binomial,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop
6954,Anu,Tropaeolum tuberosum,TRTU,Vine,72,24,4,Spring-Fall,"Mashua has photoperiod dependencies for both tuber formation and flowering. Most of the mashua varieties have a critical day length of about 13 hours and begin to form tubers in early September. A few are closer to 12 hours and therefore don’t begin to form tubers until the end of September. Flowering begins a few weeks after tuber. Seed - sow early spring in a greenhouse. Prick the seedlings out into individual pots once they are large enough to handle and grow them on in the greenhouse for their first winter. Plant out in late spring or early summer, after the last expected frosts. Division of the tubers in the autumn or spring. In cold winter areas the tubers can be harvested in the autumn after top-growth has died down and they can then be stored in a cool frost-free position until planting them out in the spring. Cuttings of basal stems in the spring. Pot them up into individual pots and place them in light shade in a frame until they are established. Plant out in early summer. formation, in October for most varieties. Pests and diseases do not seem to pose significant constraints to mashua culture. The main limitation appears to be the low acceptance outside family or local","Orange, Red","Tuber, Short Rhizome",Late Summer - Early Fall,Fall - Summer,Medium,Vine,Moderate,Minor,Minor,Full_Sun,8 -- 10,Moderate,5.3 - 7.5,"Aromatic Pest Confuser, Groundcover, Insecticide, Insectory","Food, Food, Medicine, Medicine, Ornamental"
8220,Ayahuasca Thunder(Ayahuasca Thunder),Alicia anisopetala,ALAN,Vine,30,12,48,All Year,Alicia anisopetala (Black vine) is a powerful and mystic plant from the Amazon used to prepare ayahuasca. Also known as Banisteriopsis Caapi.,Yellow,Fibrous Deep,Early Spring - Late Winter,Spring - Winter,Coarse,Vine,Moderate,Minor,Minor,"Partial_Shade, Shade",12 -- 13,"Wet, Moderate",5.5 - 7.0,Insectory,"Medicine, Medicine, Medicine"
4890,Partridge Berry (Running Fox),Mitchella repens,MIRE,Vine,2,3+,3,All Year,"Partridgeberry is a creeping, rhizomatous, evergreen, woody vine up to 1.5 feet (50 cm) tall. It roots at the nodes and often forms loose mats. The flowers are borne in axillary, single stalks at the tip of the branchlets. The fruit is a drupe containing eight seeds. Partridgeberry is widely distributed throughout the eastern United States. The stems run along the ground in a vine-like fashion often carpeting an area. The leaves are opposite with a smooth margin and white central vein. White, sometimes pinkish, flowers mature in summer. The sprawling herb produces a shiny, red berry with a tiny dimple and star-shaped marks. It ranges from Newfoundland south to central Florida and from southern Ontario and Minnesota south to eastern Texas. Partridgeberry grows on a variety of sites but generally prefers mildly acidic, well-drained mesic soils. It grows on leached banks, shaded sandstone ledges, and mossy hammocks and bogs. Best grown in organically rich, medium moisture, well-drained soils in part shade to full shade. Tolerates some drought, but best with consistent watering. Stems will root at the nodes to form colonies in optimum growing conditions. Plantings are sometimes d",White,Rhizome,Spring - Late Spring,Summer - Fall,Fine,Prostrate,Moderate,Minor,Minor,"Partial_Shade, Shade",3 -- 8,Moderate,4.0 - 6.0,"Groundcover, Insectory, Wildlife Food","Aromatics/Fragrance, Food, Ornamental, Ornamental"
3177,Betel Vine,Piper betel,PIBE,Vine,60,0,2,,Adventitious roots. Best in fertile soils and high humidity. Dioecious. Stems can become slightly woody. Many cultivars exist with varied characteristics.,"Green, White",,Spring - Summer,,Coarse,Vine,Moderate,Major,Medium,Partial_Shade,10 -- 11,"Wet, Moderate",5.0 - 6.5,"Fungicide, Insecticide","Essential Oil, Food, Medicine, Ornamental"
3039,Black Pepper,Piper nigrum,PINI,Vine,15,15,13,All Year,"Thrives in high humidity. Can be grown as a houseplant, although it most likely will not fruit. Can reach as much as 30ft tall in native habitat.","Green, Yellow",Fibrous Deep,Early Summer - Late Summer,,Coarse,Columnar,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",11 -- 12,Moderate,6.0 - 7.0,"Fungicide, Insecticide","Aromatics/Fragrance, Essential Oil, Food, Hanging Basket, Medicine"
2698,Blue Ravine Clematis,Clematis 'Blue Ravine',CLx,Vine,15,4,18,Spring-Summer,Deciduous mid-season Clematis. Best in rich well-drained soil.,"Blue, Purple",Fibrous Deep,Spring - Summer,Fall - ?,Medium,Vine,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",4 -- 9,Moderate,6.0 - 7.8,"Groundcover, Insectory, Wildlife Habitat","Cut Flower, Ornamental"
2699,Else Spath Clematis,Clematis 'Elsa Spath',CLx,Vine,10,4,18,Summer,Deciduous Early Clematis. Grows best in fertile well-drained soils. Clematis do best when their roots are kept cool and protected. Free-flowering.,"Blue, Lavender",Fibrous Deep,Spring - Early Fall,Fall - ?,Medium,Vine,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",4 -- 9,Moderate,6.0 - 7.8,"Insectory, Wildlife Habitat","Container Garden, Cut Flower, Ornamental"
2700,Ernest Markham Clematis,Clematis 'Ernest Markham',CLx,Vine,15,4,18,Summer,Deciduous mid to late-season clematis. Blooms June/July and August/October. Clematis grow best when their roots are kept cool and protected.,Purple,Fibrous Deep,Summer - Early Fall,Fall - ?,Medium,Vine,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",4 -- 8,Moderate,6.0 - 7.8,Wildlife Habitat,"Container Garden, Cut Flower, Ornamental"
2701,Hagley Hybrid Clematis,Clematis 'Hagley Hybrid',CLx,Vine,8,4,18,Summer,Deciduous late-flowering clematis. Best flower occurs in part sun. Clematis vines grow best when their roots are kept cool and protected.,Pink,Fibrous Deep,Early Summer - Early Fall,Fall - ?,Medium,Vine,Moderate,Minor,Minor,"Full_Sun, Partial_Shade, Shade",4 -- 8,Moderate,6.0 - 7.8,Wildlife Habitat,"Container Garden, Cut Flower, Ornamental"
2702,Henyri Clematis,Clematis 'Henryi',CLx,Vine,20,4,18,Summer,Deciduous Clematis. Tolerates proximity to black walnut trees. Best in well-drained fertile soil. Clematis vines grow best when their roots are kept cool and protected. Primary blooming occurs in early summer with a second flush later in the summer.,"Cream, White",Fibrous Deep,Late Spring - Late Summer,Fall - ?,Medium,Vine,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",4 -- 8,Moderate,6.0 - 7.8,"Insectory, Wildlife Habitat","Container Garden, Cut Flower, Ornamental"
